time_ms,weight_kg,sync
143996.0,0.5518,0
144009.0,0.5011,0
144023.0,0.5855,0
144036.0,0.4923,0
144049.0,0.5061,0
144063.0,0.4939,0
144076.0,0.5304,0
144089.0,0.4437,0
144103.0,0.4868,0
144116.0,0.5959,0
144129.0,0.4821,0
144143.0,0.4043,0
144156.0,0.539,0
144169.0,0.5574,0
144183.0,0.5987,0
144196.0,0.5123,0
144209.0,0.5699,0
144223.0,0.6041,0
144236.0,0.5435,0
144249.0,0.4237,0
144276.0,0.5305,0
144289.0,0.4221,0
144303.0,0.4779,0
144316.0,0.5627,0
144329.0,0.4655,0
144343.0,0.3674,0
144356.0,0.5353,0
144369.0,0.5061,0
144383.0,0.4318,0
144396.0,0.4077,0
144409.0,0.3783,0
144423.0,0.3997,0
144436.0,0.4457,0
144449.0,0.397,0
144463.0,0.4206,0
144476.0,0.4904,0
144489.0,0.4105,0
144503.0,0.3435,0
144516.0,0.4627,0
144529.0,0.3403,0
144543.0,0.2959,0
144556.0,0.3695,0
144569.0,0.3132,0
144583.0,0.3443,0
144596.0,0.4316,0
144609.0,0.384,0
144623.0,0.4318,0
144636.0,0.4271,0
144649.0,0.3621,0
144663.0,0.4,0
144676.0,0.4704,0
144689.0,0.415,0
144703.0,0.4648,0
144716.0,0.467,0
144729.0,0.3881,0
144743.0,0.4187,0
144756.0,0.4418,0
144769.0,0.3841,0
144783.0,0.4087,0
144796.0,0.3892,0
144809.0,0.3623,0
144823.0,0.3502,0
144836.0,0.4525,0
144849.0,0.4174,0
144863.0,0.4523,0
144876.0,0.4643,0
144889.0,0.4176,0
144903.0,0.4461,0
144916.0,0.5149,0
144929.0,0.4391,0
144943.0,0.4756,0
144956.0,0.4499,0
144969.0,0.4356,0
144983.0,0.3692,0
144996.0,0.4875,0
145009.0,0.4515,0
145023.0,0.4505,0
145036.0,0.4549,0
145049.0,0.3701,0
145063.0,0.3821,0
145076.0,0.4465,0
145089.0,0.3501,0
145103.0,0.4172,0
145116.0,0.3938,0
145129.0,0.3504,0
145143.0,0.3587,0
145156.0,0.4248,0
145169.0,0.3474,0
145183.0,0.4122,0
145196.0,0.422,0
145209.0,0.3305,0
145223.0,0.3857,0
145236.0,0.5162,0
145249.0,0.3784,0
145263.0,0.4312,0
145276.0,0.4753,0
145289.0,0.499,0
145303.0,0.3567,0
145316.0,0.4759,0
145329.0,0.4528,0
145343.0,0.4787,0
145356.0,0.4045,0
145369.0,0.4138,0
145383.0,0.4098,0
145396.0,0.4782,0
145409.0,0.4252,0
145423.0,0.54,0
145436.0,0.5041,0
145449.0,0.467,0
145463.0,0.4559,0
145476.0,0.5762,0
145489.0,0.4356,0
145503.0,0.4643,0
145516.0,0.5016,0
145529.0,0.5335,0
145543.0,0.3923,0
145556.0,0.5265,0
145569.0,0.4461,0
145583.0,0.5335,0
145596.0,0.481,0
145609.0,0.4685,0
145623.0,0.4735,0
145636.0,0.5221,0
145649.0,0.4363,0
145663.0,0.563,0
145676.0,0.5591,0
145689.0,0.5023,0
145703.0,0.396,0
145716.0,0.5705,0
145729.0,0.4501,0
145743.0,0.4472,0
145756.0,0.3841,0
145769.0,0.4428,0
145783.0,0.4048,0
145796.0,0.4282,0
145809.0,0.2987,0
145823.0,0.442,0
145836.0,0.4031,0
145849.0,0.4023,0
145863.0,0.3638,0
145876.0,0.4782,0
145889.0,0.439,0
145903.0,0.4584,0
145916.0,0.3291,0
145929.0,0.4609,0
145943.0,0.3845,0
145956.0,0.3786,0
145969.0,0.322,0
145983.0,0.4312,0
145996.0,0.3163,0
146009.0,0.3556,0
146023.0,0.2877,0
146036.0,0.3911,0
146049.0,0.3163,0
146063.0,0.3651,0
146076.0,0.2831,0
146089.0,0.3679,0
146103.0,0.3197,0
146116.0,0.3887,0
146129.0,0.337,0
146143.0,0.4626,0
146156.0,0.345,0
146169.0,0.465,0
146183.0,0.3572,0
146196.0,0.3519,0
146209.0,0.3162,0
146223.0,0.4596,0
146236.0,0.3434,0
146249.0,0.3184,0
146263.0,0.3505,0
146276.0,0.3979,0
146289.0,0.2506,0
146303.0,0.3814,0
146316.0,0.3365,0
146329.0,0.4112,0
146343.0,0.378,0
146356.0,0.4521,0
146369.0,0.4028,0
146383.0,0.4901,0
146409.0,0.4553,0
146423.0,0.3865,0
146436.0,0.4085,0
146449.0,0.3765,0
146463.0,0.5441,0
146476.0,0.4234,0
146489.0,0.4843,0
146503.0,0.466,0
146516.0,0.4294,0
146529.0,0.2933,0
146543.0,0.4908,0
146556.0,0.3444,0
146569.0,0.3528,0
146583.0,0.3641,0
146596.0,0.4315,0
146609.0,0.3431,0
146623.0,0.3809,0
146636.0,0.3838,0
146649.0,0.4186,0
146663.0,0.3416,0
146676.0,0.3041,0
146689.0,0.294,0
146716.0,0.3326,0
146729.0,0.3611,0
146743.0,0.4376,0
146756.0,0.4718,0
146769.0,0.3566,0
146783.0,0.2983,0
146796.0,0.4133,0
146809.0,0.3867,0
146823.0,0.3132,0
146836.0,0.3339,0
146849.0,0.3062,0
146863.0,0.353,0
146876.0,0.3678,0
146889.0,0.3383,0
146903.0,0.3972,0
146916.0,0.4736,0
146929.0,0.3899,0
146943.0,0.434,0
146956.0,0.5165,0
146969.0,0.4278,0
146983.0,0.3713,0
146996.0,0.415,0
147009.0,0.3905,0
147023.0,0.3308,0
147036.0,0.4318,0
147049.0,0.4146,0
147063.0,0.3765,0
147076.0,0.4145,0
147089.0,0.3406,0
147103.0,0.3614,0
147116.0,0.4277,0
147129.0,0.3813,0
147143.0,0.4139,0
147156.0,0.4525,0
147169.0,0.3716,0
147183.0,0.383,0
147196.0,0.4406,0
147209.0,0.401,0
147223.0,0.3916,0
147236.0,0.4082,0
147249.0,0.3696,0
147263.0,0.3467,0
147276.0,0.3835,0
147289.0,0.3311,0
147303.0,0.365,0
147316.0,0.4006,0
147329.0,0.2787,0
147343.0,0.3326,0
