time_ms,weight_kg,accel_x,accel_y,accel_z,tilt_x,tilt_y,sync
1989098.0,-2.0966,0.316,1.154,9.8497,6.679,-1.838,0
1989148.0,-1.9929,0.2011,0.8811,9.6438,5.219,-1.195,0
1989198.0,-2.0017,0.158,0.8811,9.7779,5.148,-0.926,0
1989248.0,-2.0033,0.249,0.6752,9.6438,4.003,-1.479,0
1989298.0,-2.047,0.1867,0.8954,9.6199,5.317,-1.112,0
1989348.0,-2.0366,0.2729,1.0104,9.6343,5.984,-1.623,0
1989398.0,-2.0643,0.2825,1.2737,9.6438,7.521,-1.678,0
1989448.0,-2.0522,0.2825,0.9625,9.7348,5.644,-1.662,0
1989498.0,-2.2393,0.0814,0.565,9.7492,3.317,-0.478,0
1989548.0,-2.2948,0.1437,0.7805,9.5816,4.656,-0.859,0
1989598.0,-2.2896,0.1915,0.9912,9.7013,5.833,-1.131,0
1989648.0,-2.1556,0.2682,0.9146,9.7683,5.347,-1.572,0
1989698.0,-2.0948,0.2538,1.2402,9.7205,7.268,-1.496,0
1989748.0,-2.0444,0.2538,1.1827,9.7875,6.888,-1.485,0
1989798.0,-2.0623,0.2921,0.5794,9.7636,3.395,-1.714,0
1989848.0,-2.0543,0.2586,0.6369,9.6869,3.76,-1.529,0
1989898.0,-2.0618,0.2682,0.905,9.6247,5.37,-1.596,0
1989948.0,-2.1234,0.1915,0.9433,9.6391,5.588,-1.138,0
1989998.0,-2.2216,0.2682,1.3551,9.7157,7.937,-1.581,0
1990048.0,-2.1565,0.2203,1.0439,9.7827,6.089,-1.29,0
1990098.0,-2.1579,0.0192,0.5794,9.7683,3.394,-0.112,0
1990148.0,-2.0979,0.158,0.4741,9.7109,2.794,-0.932,0
1990198.0,-2.0316,0.1245,0.7422,9.6295,4.407,-0.741,0
1990248.0,-2.0496,0.158,0.7278,9.7492,4.269,-0.929,0
1990298.0,-2.023,0.2442,1.1444,9.6391,6.769,-1.451,0
1990348.0,-2.1511,0.2969,1.0391,9.6869,6.12,-1.755,0
1990398.0,-2.1955,0.2538,0.4788,9.6582,2.837,-1.505,0
1990448.0,-2.156,0.0431,0.4741,9.73,2.789,-0.254,0
1990498.0,-2.099,0.1101,0.6847,9.6822,4.045,-0.652,0
1990548.0,-2.0244,0.2729,0.7709,9.7683,4.511,-1.6,0
1990598.0,-2.1845,0.249,1.0056,9.754,5.884,-1.462,0
1990648.0,-2.1403,0.182,0.8571,9.6774,5.061,-1.077,0
1990698.0,-2.1515,0.3735,0.2682,9.6917,1.584,-2.207,0
1990748.0,-2.0479,0.1389,0.3017,9.6965,1.782,-0.82,0
1990798.0,-2.0749,0.0479,0.8284,9.7492,4.857,-0.281,0
1990848.0,-2.193,0.1293,0.5028,9.6917,2.969,-0.764,0
1990898.0,-2.2596,0.1245,0.9864,9.6774,5.82,-0.737,0
1990948.0,-2.1885,0.1197,0.996,9.7205,5.85,-0.706,0
1990998.0,-2.0218,0.2155,0.8906,9.6391,5.278,-1.281,0
1991048.0,-1.973,0.0527,0.4118,9.6965,2.432,-0.311,0
1991098.0,-2.0957,0.1053,0.6943,9.6822,4.101,-0.623,0
1991148.0,-2.1129,0.1053,0.5411,9.6726,3.202,-0.624,0
1991198.0,-2.0923,0.1772,0.9098,9.7061,5.354,-1.046,0
1991248.0,-2.0601,0.2203,0.9481,9.7971,5.526,-1.288,0
1991298.0,-2.1326,0.0287,0.407,9.754,2.389,-0.169,0
1991348.0,-2.1515,0.1053,0.3304,9.7875,1.933,-0.617,0
1991398.0,-2.0933,0.1101,0.5794,9.7875,3.388,-0.645,0
