-0,-0.011,-0.02,-29.54,179.54,0
-0.012,0.003,-0.005,13.54,113.79,0
0.019,0.025,0.033,33.04,-29.95,0
-0.015,-0.006,0.026,-12.18,29.4,0
-0.003,-0.009,0.007,-51.04,21.09,0
0.024,-0.004,0.004,-9.38,-79.92,0
-0.01,-0.016,0.002,-58.17,79.33,0
0.019,-0.006,0.009,-16.89,-64.6,0
-0,-0.002,0.033,-2.77,0.28,0
-0.007,-0.028,0.014,-60.76,28.01,0
-0.012,-0.018,-0.008,-51.9,122.55,0
0.038,0.013,-0.02,16.56,-117.33,0
0.026,0.006,-0.046,6.02,-150.38,0
-0.031,-0.018,0.002,-30.36,86.64,0
0.012,-0.026,-0.001,-65.16,-92.71,0
0.036,-0.014,-0.001,-20.78,-90.9,0
-0.005,-0.014,0.004,-64.37,49.48,0
0.007,-0.006,-0.001,-42.18,-94.56,0
0.019,-0.011,0.011,-26.76,-59,0
-0.019,-0.006,-0.017,-13.83,131.88,0
0.033,0.022,-0.005,33.48,-99.11,0
-0.005,-0.021,0.019,-47.16,14.9,0
-0.003,0.013,0.035,19.81,4.13,0
0.009,0.001,-0.005,4.21,-119.59,0
0.009,0.013,-0.034,19.86,-164.55,0
-0.017,-0.011,0.04,-14.39,22.85,0
-0,-0.011,0.004,-69.26,2.16,0
-0.003,-0.004,0.016,-13.68,8.96,0
-0.007,-0.006,0.033,-10.71,12.56,0
0.002,0.02,-0.013,57.46,-169.89,0
0.026,-0.004,-0.039,-4.87,-146.04,0
-0.01,-0.03,-0.02,-54.06,153.72,0
0.007,0.006,0.002,37.58,-75.36,0
-0.007,-0.002,-0.02,-4.34,159.57,0
-0.005,-0.021,-0.017,-49.04,164.06,0
0.012,0.001,0.002,3.82,-81.17,0
0.007,0.001,-0.032,1.41,-167.5,0
0.019,-0.018,-0.001,-44.01,-91.69,0
0.002,-0.014,-0.008,-59.29,-163.9,0
0.014,-0.023,-0.017,-45.94,-140.64,0
-0.022,0.01,-0.027,16.71,141.09,0
-0.01,-0.03,0.019,-55.31,27.64,0
0.021,0.008,0.007,19.62,-72.79,0
0.005,-0.016,-0.001,-73.72,-96.9,0
0.019,-0.006,-0.032,-9.81,-149.06,0
0.002,0.022,0.026,40.82,-4.95,0
-0,0.013,-0.01,51.55,179.1,0
-0.012,-0.016,0.023,-31.21,27.42,0
0.019,0.001,-0.022,1.57,-139.33,0
0.007,-0.006,0.009,-29.19,-37.91,0
-0.01,-0.021,0.05,-22.27,11.08,0
0.005,-0.021,0.009,-63.97,-27.17,0
-0.003,-0.028,0.014,-63.31,10.48,0
0.002,0.001,-0.039,1.17,-176.71,0
-0.01,0.032,-0.017,58.1,150.66,0
-0.005,-0.006,0.007,-37.68,36.76,0
0.009,0.001,0.016,2.44,-30.17,0
-0.007,0.001,-0.003,5.76,111.91,0
0.017,0.008,0.023,15.55,-35.37,0
0.012,-0.002,0.031,-2.79,-21.13,0
0.019,-0.002,-0.003,-4.75,-98.84,0
0.002,-0.03,-0.005,-79.18,-157.32,0
0.017,-0.011,-0.022,-22.01,-143.1,0
0.014,0.032,0.019,53.76,-37.38,0
0.005,-0.026,-0.029,-40.74,-171.02,0
0.005,0.02,0.016,49.82,-15.95,0
0.007,-0.006,0.014,-22.4,-26.96,0
0.005,0.015,0.011,50.92,-22.08,0
0.007,0.015,0.019,37.34,-20.69,0
0.017,-0.035,-0.001,-64.69,-91.93,0
-0.007,-0.011,-0.008,-46.32,136.52,0
0.007,0.008,0.04,11.08,-9.92,0
0.009,0.003,-0.003,17.92,-107.41,0
0.012,0.006,-0.005,23.31,-114.36,0
0.014,0.015,0.014,37.43,-45.82,0
0.005,0.015,0.023,32.46,-11.2,0
-0.015,-0.016,0.028,-26.73,27.28,0
-0,0.01,0.021,26.3,0.44,0
0.026,-0.004,-0.025,-6.35,-133.11,0
-0,-0.026,-0.041,-31.75,179.78,0
-0.005,-0.021,0.016,-50.77,16.98,0
0.026,0.001,-0.008,1.67,-106.48,0
-0.003,0.006,-0.003,55.05,139.15,0
-0.005,-0.028,0.016,-58.77,16.98,0
-0.003,0.006,-0.013,23.6,168.48,0
0.014,0.008,-0.015,21.17,-136.41,0
0.017,0.003,0.011,9,-55.49,0
0.024,-0.009,0.023,-14.75,-45.49,0
0.021,0.003,-0.003,8.41,-97.86,0
-0.015,0.013,0.016,30.41,41.88,0
-0.007,0.008,0.011,30.46,32.76,0
0.019,0.003,-0.005,9.19,-105.73,0
0.012,0.03,0.028,44.03,-22.75,0
-0.01,0.006,-0.015,17.41,146.88,0
-0.01,0.013,-0.025,25.84,158.33,0
-0.015,-0.028,-0.072,-20.72,168.65,0
-0,-0.018,0.023,-38.13,0.39,0
-0.01,0.006,0.019,14.9,27.64,0
0.024,0.015,-0.008,31.23,-108.03,0
0.005,-0.026,0.035,-35.61,-7.46,0
0.002,-0.014,0.023,-30.01,-5.46,0
0.012,-0.028,-0.008,-63.18,-123.24,0
0.002,0.032,0.019,59.6,-6.85,0
0.002,-0.023,-0.005,-75.94,-157.32,0
0.005,0.013,-0.013,43.71,-159.73,0
0.017,0.008,-0.065,6.76,-165.72,0
0.007,-0.021,-0.02,-44.76,-160.39,0
-0.007,-0.023,-0.02,-47.73,159.57,0
-0.005,-0.006,0.016,-20.65,16.98,0
-0.003,-0.011,-0.027,-22.47,174.58,0
0.031,0.015,-0.008,25.41,-104.04,0
0.007,-0.002,0.009,-7.95,-37.91,0
-0.01,0.001,-0.046,0.97,168.06,0
0.005,-0.016,0.035,-24.12,-7.46,0
-0.005,0.022,-0.025,41.8,168.58,0
0.021,0.013,0.014,26.64,-57.16,0
-0,0.018,0.026,34.26,0.35,0
0.007,-0.002,-0.02,-4.36,-160.39,0
-0.019,-0.014,0.016,-28.29,50.01,0
-0,0.02,0.031,33.13,0.3,0
-0,0.015,0.033,24.71,0.28,0
0.002,-0.016,-0.01,-56.96,-167.57,0
0.007,-0.002,0.019,-4.59,-20.69,0
0.012,-0.021,-0.001,-60.32,-92.71,0
