time_s,source,weight_kg,accel_x,accel_y,accel_z,norm_accel,pitch_deg,roll_deg,angle_deg,L_mm,sync
8.549180,video,,,,,,,,-0.392431,106.974417,0
8.565845,video,,,,,,,,-0.392969,106.827884,0
8.582510,video,,,,,,,,-0.471560,106.828989,0
8.599175,video,,,,,,,,-0.475473,105.949798,0
8.632505,video,,,,,,,,-0.555482,105.804585,0
8.649170,video,,,,,,,,-0.547146,107.416416,0
8.665835,video,,,,,,,,0.000000,107.704592,0
8.682500,video,,,,,,,,0.550148,106.830296,0
8.699165,video,,,,,,,,0.314809,106.680444,0
8.715830,video,,,,,,,,0.000000,106.532297,0
8.732495,video,,,,,,,,0.314809,106.680444,0
8.749160,video,,,,,,,,0.395137,106.241750,0
8.765826,video,,,,,,,,0.000000,106.092687,0
8.782491,video,,,,,,,,0.871653,105.958411,0
